,FP rate,FN rate,Accuracy,F1-score,MCC,Mean C,Median C,Sum metrics
43,0.008037415018661051,0.3875338753387534,0.983481960362761,0.6236633321835116,0.615329387556591,3.2888808250427246,2.543219804763794,2.2224746801028634
44,0.004924658913168042,0.4634146341463415,0.9848294448061288,0.6125290023201857,0.6113486216073841,3.746657133102417,2.8518638610839844,2.2087070687336987
45,0.051321759868675765,0.15514905149051492,0.9463580069342458,0.4131190988901773,0.4626007655408118,1.2130192518234253,1.1623327732086182,1.8220778713652348
46,0.05175537763461509,0.1402439024390244,0.9462671652863783,0.4169541646131099,0.4686669326640809,1.266274094581604,1.2029160261154175,1.831888262563569
47,0.050624874173416136,0.13821138211382114,0.9474178261593665,0.422802060827655,0.47384427491928116,1.3195288181304932,1.2434991598129272,1.8440641619063025
48,0.04474006163566816,0.1632791327913279,0.9526109403624582,0.4410714285714286,0.48382798073539085,1.4423350095748901,1.3138188123703003,1.8775103496692778
49,0.04122466046180292,0.1483739837398374,0.9563808687489591,0.4659870250231697,0.5070263277564333,1.552918791770935,1.3922734260559082,1.929394221528562
50,0.037167237080513525,0.15514905149051492,0.9601962179593938,0.48682412648838574,0.5226883843769972,1.6635026931762695,1.4707281589508057,1.9697087288247768
51,0.02847939541294349,0.17411924119241193,0.968265984344956,0.5377150419056022,0.5609028445709217,1.9249752759933472,1.609299898147583,2.0668838708214796
52,0.022826878106948726,0.19850948509485095,0.9732471347030235,0.5724655214130172,0.5857409002163162,2.156219005584717,1.761624813079834,2.1314535563323567
53,0.017964164588914873,0.24119241192411925,0.9770473436388136,0.5963791267305645,0.5998226536024929,2.387462854385376,1.913949728012085,2.173249123971871
54,0.09861706905362923,0.12533875338753386,0.9007857802540538,0.28264915161466886,0.35826124691870626,1.8414241075515747,1.667191743850708,1.541696178787429
55,0.06879036129651712,0.14498644986449866,0.929506881254826,0.35153203342618383,0.4137177033465442,2.0517802238464355,1.8339897394180298,1.694756618027554
56,0.04850324439007015,0.14634146341463414,0.9493103604899393,0.4294478527607362,0.4776677843591652,2.262136459350586,2.0007877349853516,1.8564259976098407
57,0.026218388490545586,0.18089430894308944,0.9703250616966191,0.5523069894929191,0.571814360778143,2.7407519817352295,2.291454315185547,2.094446411967681
58,0.014727517693153485,0.29878048780487804,0.9789247376947418,0.5979202772963604,0.594170217872693,3.1759402751922607,2.6143178939819336,2.171015232863795
59,0.008687841667570037,0.37533875338753386,0.983118593771291,0.6231835079418723,0.6145512492707026,3.611128330230713,2.9371817111968994,2.220853350983866
60,0.004444582100878076,0.5264227642276422,0.9838907477781647,0.5678310316815597,0.571819318728537,4.62687873840332,3.4963979721069336,2.1235410981882614
61,0.0021061434345624333,0.6144986449864499,0.984208693545701,0.5217790004585053,0.5514649674965347,5.533598899841309,4.120497703552246,2.057452661500741
62,0.0009911263221470273,0.690379403794038,0.9836030825599177,0.45768652979469204,0.5156722193202039,6.440318584442139,4.744597434997559,1.9569618316748136
63,0.1892586684837316,0.10365853658536585,0.8126542415479416,0.17616511318242342,0.2588601071424896,1.423252820968628,1.3286261558532715,1.2476794618728546
